firmware	loader_refs
WCNSS_qcom_wlan_nv.bin	android_kernel_xiaomi_oxygen/drivers/net/wireless/ath/wcn36xx/wcn36xx.h;android_kernel_xiaomi_oxygen/drivers/soc/qcom/wcnss/wcnss_wlan.c;android_kernel_xiaomi_oxygen/drivers/soc/qcom/wcnss_ctrl.c;android_kernel_xiaomi_oxygen/drivers/staging/prima/Android.mk;android_kernel_xiaomi_oxygen/drivers/staging/prima/CORE/VOSS/inc/wlan_hdd_misc.h;linux/Documentation/devicetree/bindings/soc/qcom/qcom,wcnss.yaml;linux/arch/arm64/boot/dts/qcom/msm8953-motorola-potter.dts;linux/arch/arm64/boot/dts/qcom/sdm450-motorola-ali.dts;linux/arch/arm64/boot/dts/qcom/sdm632-motorola-ocean.dts;linux/drivers/net/wireless/ath/wcn36xx/wcn36xx.h;linux/drivers/soc/qcom/wcnss_ctrl.c
a506_zap.b00	
a506_zap.b01	
a506_zap.b02	
a506_zap.mdt	linux/arch/arm64/boot/dts/qcom/apq8053-lenovo-cd-18781y.dts;linux/arch/arm64/boot/dts/qcom/msm8953-asus-ze520kl.dts;linux/arch/arm64/boot/dts/qcom/msm8953-asus-ze552kl.dts;linux/arch/arm64/boot/dts/qcom/msm8953-huawei-milan.dts;linux/arch/arm64/boot/dts/qcom/msm8953-lenovo-kuntao.dts;linux/arch/arm64/boot/dts/qcom/msm8953-motorola-potter.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-daisy.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-markw.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-mido.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-tissot.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-vince.dts;linux/arch/arm64/boot/dts/qcom/msm8953-xiaomi-ysl.dts;linux/arch/arm64/boot/dts/qcom/msm8953.dtsi;linux/arch/arm64/boot/dts/qcom/sdm450-lenovo-tbx605f.dts;linux/arch/arm64/boot/dts/qcom/sdm450-motorola-ali.dts;linux/arch/arm64/boot/dts/qcom/sdm450-xiaomi-rosy.dts;linux/arch/arm64/boot/dts/qcom/sdm632-fairphone-fp3.dts;linux/arch/arm64/boot/dts/qcom/sdm632-motorola-ocean.dts;linux/arch/arm64/boot/dts/qcom/sdm632-xiaomi-onclite.dts;linux/drivers/gpu/drm/msm/adreno/a5xx_catalog.c
a530_pfp.fw	android_kernel_xiaomi_oxygen/drivers/gpu/msm/adreno-gpulist.h;linux/drivers/gpu/drm/msm/adreno/a5xx_catalog.c
a530_pm4.fw	android_kernel_xiaomi_oxygen/drivers/gpu/msm/adreno-gpulist.h;linux/drivers/gpu/drm/msm/adreno/a5xx_catalog.c
cpp_firmware_v1_10_0.fw	
cpp_firmware_v1_12_0.fw	
cpp_firmware_v1_12_1.fw	
cpp_firmware_v1_1_1.fw	
cpp_firmware_v1_1_6.fw	
cpp_firmware_v1_2_0.fw	
cpp_firmware_v1_4_0.fw	
cpp_firmware_v1_5_0.fw	
cpp_firmware_v1_5_1.fw	
cpp_firmware_v1_5_2.fw	
cpp_firmware_v1_6_0.fw	
cpp_firmware_v1_8_0.fw	
goodix_firmware.bin	android_kernel_xiaomi_oxygen/drivers/input/touchscreen/gt9xx_v2.8/gt9xx_update.c
