blob,exports,arch,bits,endian,machine,osabi,has_sensor_open_lib,has_eeprom_open_lib,has_actuator_open_lib,deps
android.hardware.bluetooth@1.0-impl-qti.so,630,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libbase.so;libcutils.so;libhidlbase.so;liblog.so;libutils.so;libdiag.so;libqmiservices.so;libqmi_cci.so;libbtnv.so;android.hardware.bluetooth@1.0.so;libsoc_helper.so;libc++.so;libc.so;libm.so;libdl.so;15 libraries
com.dsi.ant@1.0-impl.so,18,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libbase.so;libcutils.so;libhidlbase.so;liblog.so;libutils.so;com.dsi.ant@1.0.so;android.hardware.bluetooth@1.0.so;android.hardware.bluetooth@1.0-impl-qti.so;libc++.so;libc.so;libm.so;libdl.so;12 libraries
com.qualcomm.qti.dpm.api@1.0.so,192,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
com.qualcomm.qti.imscmservice@2.0.so,340,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
com.qualcomm.qti.imscmservice@2.1.so,301,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];com.qualcomm.qti.imscmservice@2.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;9 libraries
com.qualcomm.qti.imscmservice@2.2.so,172,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];com.qualcomm.qti.imscmservice@2.0.so;com.qualcomm.qti.imscmservice@2.1.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;10 libraries
com.qualcomm.qti.uceservice@2.0.so,512,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;8 libraries
com.qualcomm.qti.uceservice@2.1.so,411,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];com.qualcomm.qti.uceservice@2.0.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;9 libraries
com.qualcomm.qti.uceservice@2.2.so,355,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];com.qualcomm.qti.uceservice@2.0.so;com.qualcomm.qti.uceservice@2.1.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;10 libraries
com.qualcomm.qti.uceservice@2.3.so,483,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];com.qualcomm.qti.uceservice@2.0.so;com.qualcomm.qti.uceservice@2.1.so;com.qualcomm.qti.uceservice@2.2.so;libhidlbase.so;liblog.so;libutils.so;libcutils.so;libc++.so;libc.so;libm.so;libdl.so;11 libraries
consumerir.msm8953.so,7,arch     arm,bits     64,endian   little,machine  ARM aarch64,os       android,False,False,False,[Linked libraries];liblog.so;libcutils.so;libc++.so;libdl.so;libc.so;libm.so;6 libraries
